scientificname;yeareventdate;montheventdate;dayeventdate;stateprovince;county;municipality;minimumelevationinmeters;decimallatitude;decimalLongitude
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;19.000000;Álava;Añana;Valdegovía/Gaubea;702.000000;42.848100;-3.098600
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;11.000000;Álava;Arabako Lautada / Llanada Alavesa;Alegría-Dulantzi;585.000000;42.840100;-2.512700
Eriogaster catax Linnaeus, 1758;2016.000000;6.000000;4.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;560.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2017.000000;4.000000;15.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;560.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;6.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;525.000000;42.846700;-2.672700
Eriogaster catax Linnaeus, 1758;2018.000000;6.000000;20.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zuia;818.000000;42.981900;-2.843000
Eriogaster catax Linnaeus, 1758;2019.000000;4.000000;27.000000;Álava;Arabako Lautada / Llanada Alavesa;Elburgo/Burgelu;627.000000;42.849700;-2.545600
Eriogaster catax Linnaeus, 1758;2019.000000;5.000000;12.000000;Álava;Arabako Lautada / Llanada Alavesa;Elburgo/Burgelu;627.000000;42.849700;-2.545600
Eriogaster catax Linnaeus, 1758;2021.000000;5.000000;13.000000;Álava;Añana;Valdegovía/Gaubea;749.000000;42.848100;-3.098600
Eriogaster catax Linnaeus, 1758;2017.000000;4.000000;16.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zuia;700.000000;42.981900;-2.843000
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;5.000000;Álava;Arabako Lautada / Llanada Alavesa;Asparrena;627.000000;42.895800;-2.321900
Parnassius apollo (Linnaeus, 1758);1987.000000;7.000000;15.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Lagrán;843.000000;42.626400;-2.583900
Parnassius apollo (Linnaeus, 1758);1977.000000;7.000000;24.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;957.000000;42.757500;-2.454700
Parnassius apollo (Linnaeus, 1758);1977.000000;8.000000;16.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;957.000000;42.757500;-2.454700
Parnassius apollo (Linnaeus, 1758);1978.000000;8.000000;15.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;957.000000;42.757500;-2.454700
Parnassius apollo (Linnaeus, 1758);1979.000000;7.000000;29.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;957.000000;42.757500;-2.454700
Parnassius apollo (Linnaeus, 1758);1985.000000;7.000000;16.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;957.000000;42.757500;-2.454700
Parnassius apollo (Linnaeus, 1758);1986.000000;8.000000;3.000000;Álava;Añana;Kuartango;631.000000;42.871400;-2.885600
Proserpinus proserpina Pallas, 1772;1985.000000;5.000000;29.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;515.000000;42.846700;-2.672700
Eriogaster catax Linnaeus, 1758;2021.000000;4.000000;29.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;716.000000;42.846700;-2.672700
Eriogaster catax Linnaeus, 1758;2018.000000;4.000000;28.000000;Álava;Arabako Lautada / Llanada Alavesa;Barrundia;650.000000;42.916700;-2.491700
Eriogaster catax Linnaeus, 1758;2019.000000;5.000000;1.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;575.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;5.000000;Álava;Arabako Lautada / Llanada Alavesa;San Millán/Donemiliaga;707.000000;42.873600;-2.375800
Eriogaster catax Linnaeus, 1758;2018.000000;4.000000;28.000000;Álava;Arabako Lautada / Llanada Alavesa;Barrundia;690.000000;42.916700;-2.491700
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;20.000000;Álava;Añana;Kuartango;720.000000;42.871400;-2.885600
Eriogaster catax Linnaeus, 1758;2018.000000;4.000000;28.000000;Álava;Arabako Lautada / Llanada Alavesa;Barrundia;620.000000;42.916700;-2.491700
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;12.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Harana/Valle de Arana;771.000000;42.756700;-2.321900
Eriogaster catax Linnaeus, 1758;2018.000000;6.000000;2.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Harana/Valle de Arana;771.000000;42.756700;-2.321900
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;13.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Lagrán;770.000000;42.626400;-2.583900
Eriogaster catax Linnaeus, 1758;2017.000000;4.000000;15.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;555.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2019.000000;5.000000;12.000000;Álava;Arabako Lautada / Llanada Alavesa;Barrundia;632.000000;42.916700;-2.491700
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;13.000000;Álava;Añana;Valdegovía/Gaubea;789.000000;42.848100;-3.098600
Eriogaster catax Linnaeus, 1758;2018.000000;4.000000;30.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;659.000000;42.846700;-2.672700
